,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,A-Junction,A Ref E,A Ref N,B-Junction,B Ref E,B Ref N,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGVR2,HGVR3,HGVR4,HGVA3,HGVA5,HGVA6,HGV,AMV
1686188,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,7,0,12,1047.0,4,199,61.0,5,5.0,5.0,5,16.0,97.0,1359.0
1686189,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,8,0,13,995.0,14,147,77.0,3,12.0,6.0,10,17.0,125.0,1294.0
1686190,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,9,0,5,622.0,24,154,71.0,5,16.0,3.0,9,29.0,133.0,938.0
1686191,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,10,0,10,634.0,14,184,90.0,6,19.0,3.0,12,34.0,164.0,1006.0
1686192,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,11,0,12,696.0,14,248,124.0,6,14.0,0.0,9,20.0,173.0,1143.0
1686193,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,12,0,8,817.0,15,276,115.0,12,16.0,2.0,4,20.0,169.0,1285.0
1686194,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,13,0,12,961.0,15,330,106.0,8,17.0,4.0,0,51.0,186.0,1504.0
1686195,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,14,0,20,1115.0,21,436,114.0,7,11.0,5.0,0,45.0,182.0,1774.0
1686196,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,15,0,21,1215.0,21,495,133.0,11,21.0,2.0,4,36.0,207.0,1959.0
1686197,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,16,0,50,1653.0,15,641,115.0,8,6.0,8.0,8,14.0,159.0,2518.0
1686198,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,17,0,64,1929.0,29,542,82.0,9,3.0,7.0,7,12.0,120.0,2684.0
1686199,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,N,2016,2016-05-05,18,0,90,1909.0,33,326,55.0,3,4.0,1.0,4,5.0,72.0,2430.0
1686200,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,7,0,85,1574.0,24,671,142.0,10,20.0,5.0,6,31.0,214.0,2568.0
1686201,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,8,0,62,1410.0,18,339,90.0,5,18.0,8.0,9,41.0,171.0,2000.0
1686202,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,9,0,38,1499.0,30,351,101.0,10,27.0,8.0,7,52.0,205.0,2123.0
1686203,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,10,0,16,1017.0,16,249,88.0,7,15.0,6.0,11,41.0,168.0,1466.0
1686204,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,11,0,9,900.0,17,233,48.0,5,13.0,7.0,6,26.0,105.0,1264.0
1686205,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,12,0,11,820.0,23,156,61.0,2,13.0,12.0,12,34.0,134.0,1144.0
1686206,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,13,0,19,723.0,15,157,49.0,3,19.0,8.0,6,28.0,113.0,1027.0
1686207,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,14,0,7,744.0,18,170,46.0,6,14.0,7.0,5,26.0,104.0,1043.0
1686208,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,15,0,9,803.0,17,150,52.0,4,16.0,4.0,6,21.0,103.0,1082.0
1686209,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,16,0,16,912.0,21,134,38.0,1,14.0,7.0,6,16.0,82.0,1165.0
1686210,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,17,0,12,1241.0,23,148,25.0,5,5.0,4.0,5,12.0,56.0,1480.0
1686211,London,E09000003,Barnet,6000,522170,189100,51.587520736,-0.237952792,M1,A406,522849,187450,M1 spur,521990,190950,TM,S,2016,2016-05-05,18,0,16,1331.0,17,104,33.0,4,2.0,11.0,3,6.0,59.0,1527.0
1686356,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,7,0,109,3721.0,34,824,160.0,23,36.0,11.0,45,25.0,300.0,4988.0
1686357,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,8,0,81,3297.0,32,591,148.0,16,27.0,14.0,46,22.0,273.0,4274.0
1686358,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,9,0,32,3139.0,34,569,146.0,7,28.0,11.0,52,29.0,273.0,4047.0
1686359,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,10,0,23,3410.0,33,656,172.0,9,42.0,8.0,61,30.0,322.0,4444.0
1686360,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,11,0,22,3186.0,28,606,185.0,13,50.0,8.0,61,33.0,350.0,4192.0
1686361,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,12,0,29,3141.0,33,567,150.0,10,42.0,2.0,54,26.0,284.0,4054.0
1686362,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,13,0,20,3320.0,24,519,148.0,12,71.0,10.0,34,13.0,288.0,4171.0
1686363,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,14,0,20,3212.0,15,482,150.0,8,39.0,4.0,38,22.0,261.0,3990.0
1686364,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,15,0,20,3418.0,30,499,134.0,9,33.0,9.0,47,22.0,254.0,4221.0
1686365,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,16,0,35,4241.0,35,519,100.0,4,12.0,6.0,28,8.0,158.0,4988.0
1686366,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,17,0,54,4645.0,30,409,66.0,5,7.0,2.0,18,5.0,103.0,5241.0
1686367,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,E,2016,2016-09-20,18,0,37,4424.0,28,351,47.0,6,3.0,5.0,15,13.0,89.0,4929.0
1686368,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,W,2016,2016-09-20,7,0,42,4855.0,16,551,120.0,7,16.0,13.0,35,9.0,200.0,5664.0
1686369,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,W,2016,2016-09-20,8,0,53,4386.0,36,469,110.0,5,31.0,20.0,37,11.0,214.0,5158.0
1686370,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,W,2016,2016-09-20,9,0,31,3615.0,39,461,174.0,9,46.0,13.0,50,13.0,305.0,4451.0
1686371,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,W,2016,2016-09-20,10,0,17,3159.0,37,547,196.0,19,37.0,14.0,55,33.0,354.0,4114.0
1686372,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,W,2016,2016-09-20,11,0,18,3008.0,24,527,208.0,20,56.0,12.0,55,22.0,373.0,3950.0
1686373,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,W,2016,2016-09-20,12,0,23,3210.0,37,591,222.0,15,44.0,5.0,50,19.0,355.0,4216.0
1686374,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,W,2016,2016-09-20,13,0,19,3358.0,24,690,224.0,17,52.0,5.0,48,19.0,365.0,4456.0
1686375,London,E09000017,Hillingdon,6013,508900,178400,51.494067034,-0.432721583,M4,4,507464,178550,3,510345,178266,TM,W,2016,2016-09-20,14,0,33,3629.0,41,806,200.0,21,78.0,7.0,50,17.0,373.0,4882.0
